,index,sch_id,sch_link,reltype,useAtSch,wd_id,wd_link,wd_label,wd_stability,Endorse,Disagree,Doubt,comments,EndorsedAction,Unnamed: 13
0,1,AccountingService,LINK,equivClass,,Q23671509,LINK,accounting services,medium,"ppkrauss, diegomoussallem, gcpdev,joraojr, marcelomachado",,,no-Wikipedia entry,,
1,2,Action,LINK,equivClass,,Q4026292,LINK,action,medium,"diegomoussallem,gcpdev, marcelomachado,joraojr",,ppkrauss,"WD use the philosophyc concept, SC is pragmatic. PS: portuguese version is wrong... Suggestion, you can edit Wikidata!",,
2,5,AdministrativeArea,LINK,equivClass,,Q3455524,LINK,administrative region,low,"diegomoussallem, gcpdev, joraojr, marcelomachado",,"ppkrauss,","non-popular, cause ambiguities",,
3,6,AdministrativeArea,LINK,equivClass,,Q56061,LINK,administrative territorial entity,high,"ppkrauss,gcpdev,marcelomachado, diegomoussallem",,joraojr,"popular in both, same use, https://en.wikipedia.org/wiki/Administrative_division",,
4,8,Airline,LINK,equivClass,,Q46970,LINK,airline,high,"diegomoussallem, marcelomachado,joraojr,gcpdev",,,,,
5,9,Airport,LINK,equivClass,,Q1248784,LINK,airport,high,"ppkrauss,marcelomachado, diegomoussallem,gcpdev,joraojr",,,,,
6,10,AmusementPark,LINK,equivClass,,Q194195,LINK,amusement park,,"marcelomachado, gcpdev, diegomoussallem,joraojr",,,,,
7,11,AnatomicalStructure,LINK,equivClass,,Q4936952,LINK,anatomical structure,,,,marcelomachado,AnatomicalStructure is not in the schema.org core vocabulary. ALERT: not in the core.,,
8,12,AnimalShelter,LINK,equivClass,,Q1411287,LINK,animal shelter,,,,joraojr,SC: No description,,
9,13,Answer,LINK,equivClass,yes,Q1920566,LINK,answer,,joraojr,,,,USE,
10,15,Apartment,LINK,equivClass,,Q188507,LINK,apartment,,joraojr,,,,,
11,17,Aquarium,LINK,equivClass,,Q2281788,LINK,public aquarium,,,,joraojr,SC: No description,,
12,18,Artery,LINK,equivClass,,Q9655,LINK,artery,,,,joraojr,is not in the schema.org core vocabulary,,
13,20,ArtGallery,LINK,equivClass,,Q1007870,LINK,art gallery,medium,"marcelomachado, gcpdev",,,,,
14,21,Article,LINK,equivClass,,Q191067,LINK,article,high,"marcelomachado, gcpdev",,,,,
15,23,Atlas,LINK,equivClass,,Q162827,LINK,atlas,high,,,,Atlas is not in the schema.org core vocabulary,,
16,24,Attorney,LINK,equivClass,,Q40348,LINK,lawyer,high,,gcpdev,marcelomachado,SC: This type is deprecated - LegalService is more inclusive and less ambiguous.,,
17,25,Audience,LINK,equivClass,,Q211198,LINK,audience,high,,gcpdev,marcelomachado,WD Audience seems to be more comprehensive than SC audience i.e. WD audience is sub of SC,,
18,30,Audiobook,LINK,equivClass,,Q106833,LINK,audiobook,,,,,,,
19,31,AudioObject,LINK,equivClass,,Q26987229,LINK,audio file,low,"diegomoussallem, marcelomachado, gcpdev",,,,,
20,34,AutoBodyShop,LINK,equivClass,,Q27003353,LINK,auto body shop,low,"diegomoussallem, marcelomachado, gcpdev",,,,,
21,35,AutomatedTeller,LINK,equivClass,,Q81235,LINK,automated teller machine,medium,"diegomoussallem, marcelomachado, gcpdev",,,,,
22,36,AutoRental,LINK,equivClass,,Q291240,LINK,car rental,high,"diegomoussallem, marcelomachado, gcpdev",,,,,
23,39,Bakery,LINK,equivClass,,Q274393,LINK,bakery,high,"diegomoussallem, marcelomachado, gcpdev",,,,,
26,42,Barcode,LINK,equivClass,,Q856,LINK,barcode,high,"gcpdev, marcelomachado",,,,,
27,43,BarOrPub,LINK,equivClass,,Q187456,LINK,bar,high,"gcpdev, marcelomachado",,,,,
28,44,BarOrPub,LINK,equivClass,,Q212198,LINK,pub,high,"gcpdev, marcelomachado",,,,,
29,45,Beach,LINK,equivClass,,Q40080,LINK,beach,high,"gcpdev, marcelomachado",,,,,
30,46,BeautySalon,LINK,equivClass,,Q1195245,LINK,beauty salon,medium,"gcpdev, marcelomachado",,,,,
31,47,BedAndBreakfast,LINK,equivClass,,Q367914,LINK,bed and breakfast,high,"gcpdev, valexiev, marcelomachado",,,,,
32,50,Blog,LINK,equivClass,,Q30849,LINK,blog,,joraojr,,,SC: No description,,
33,51,BlogPosting,LINK,equivClass,,Q17928402,LINK,blog post,,joraojr,,,SC: No description,,
34,52,BloodTest,LINK,equivClass,,Q886837,LINK,blood test,,,,,is not in the schema.org core vocabulary,,
35,53,BodyOfWater,LINK,equivClass,,Q15324,LINK,body of water,,joraojr,,,,,
36,54,Bone,LINK,equivClass,,Q265868,LINK,bone,,,,,is not in the schema.org core vocabulary,,
37,55,Book,LINK,equivClass,,Q571,LINK,book,,joraojr,,,SC: No description,,
38,57,BookSeries,LINK,equivClass,,Q277759,LINK,book series,,joraojr,,,,,
39,58,BookStore,LINK,equivClass,,Q200764,LINK,bookstore,,,,joraojr,SC: No description,,
40,59,Boolean,LINK,equivClass,,Q520777,LINK,Boolean data type,,joraojr,,,SC:Very specific,,
41,60,BowlingAlley,LINK,equivClass,,Q27106471,LINK,bowling alley,,,,joraojr,SC: No description,,
42,62,Brand,LINK,equivClass,,Q431289,LINK,brand,,joraojr,,,,,
43,64,Brewery,LINK,equivClass,,Q131734,LINK,brewery,,joraojr,,,SC: No description,,
44,65,Bridge,LINK,equivClass,,Q12280,LINK,bridge,,valexiev,,joraojr,SC: No description,,
45,67,BuddhistTemple,LINK,equivClass,,Q5393308,LINK,Buddhist temple,,valexiev,,joraojr,SC: No description,,
46,68,BusOrCoach,LINK,equivClass,,Q5638,LINK,bus,,,,,is not in the schema.org core vocabulary,,
47,69,BusStation,LINK,equivClass,,Q494829,LINK,bus station,,valexiev,,joraojr,SC: No description,,
48,70,BusStop,LINK,equivClass,,Q953806,LINK,bus stop,,valexiev,,,,,
49,72,CafeOrCoffeeShop,LINK,equivClass,,Q30022,LINK,cafe,,valexiev,,,,,
50,73,Campground,LINK,equivClass,,Q27108230,LINK,campground,,valexiev,,,,,
51,74,CampingPitch,LINK,equivClass,,Q832778,LINK,campsite,,valexiev,,,,,
52,75,Canal,LINK,equivClass,,Q12284,LINK,canal,,valexiev,,,,,
53,76,Car,LINK,equivClass,,Q1144312,LINK,car,,diegomoussallem,,,,,
54,77,Casino,LINK,equivClass,,Q133215,LINK,casino,,diegomoussallem,,,,,
55,78,CatholicChurch,LINK,equivClass,,Q1088552,LINK,Catholic church,,diegomoussallem,,,,,
56,79,Cemetery,LINK,equivClass,,Q39614,LINK,cemetery,,diegomoussallem,,,,,
57,80,Chapter,LINK,equivClass,,Q1980247,LINK,chapter,,diegomoussallem,,,,,
58,82,ChildCare,LINK,equivClass,,Q27008444,LINK,Childcare center,,diegomoussallem,,,,,
59,84,Church,LINK,equivClass,,Q16970,LINK,church,,,,diegomoussallem,too restrict to christianism ,,
60,86,City,LINK,equivClass,,Q515,LINK,city,,diegomoussallem,,,,,
61,87,CityHall,LINK,equivClass,,Q543654,LINK,seat of local government,,diegomoussallem,,,,,
62,89,Collection,LINK,equivClass,,Q2668072,LINK,collection,,,diegomoussallem,,description does not match,,
65,94,ComedyClub,LINK,equivClass,,Q2814066,LINK,comedy club,,diegomoussallem,,,,,
66,95,ComicSeries,LINK,equivClass,,Q14406742,LINK,comic book series,,diegomoussallem,,,,,
67,96,ComicStory,LINK,equivClass,,Q1004,LINK,comic,,diegomoussallem,,,,,
68,98,Comment,LINK,equivClass,,Q1141067,LINK,comment,,,ppkrauss,diegomoussallem,too restrictive in terms of computer program in WD ,DELETE and try Q857525,
69,99,CommunityHealth,LINK,equivClass,,Q3473024,LINK,Community health,,diegomoussallem,,,,,
70,103,ComputerLanguage,LINK,equivClass,,Q629206,LINK,computer language,,diegomoussallem,,,,,
71,104,ContactPoint,LINK,equivClass,,Q30322502,LINK,contact point,,diegomoussallem,,,,,
72,107,Continent,LINK,equivClass,,Q5107,LINK,continent,,diegomoussallem,,,,,
73,110,Conversation,LINK,equivClass,,Q52943,LINK,conversation,,diegomoussallem,,,,,
74,112,Corporation,LINK,equivClass,,Q4830453,LINK,business enterprise,,diegomoussallem,,,,,
75,113,Country,LINK,equivClass,,Q6256,LINK,country of origin,,diegomoussallem,,,,,
76,115,Course,LINK,equivClass,,Q600134,LINK,course,,diegomoussallem,,,,,
77,116,Courthouse,LINK,equivClass,,Q1137809,LINK,courthouse,,diegomoussallem,,,,,
78,117,CreativeWork,LINK,equivClass,,Q17537576,LINK,creative work,,diegomoussallem,,,,,
79,118,CreativeWorkSeries,LINK,equivClass,,Q7725310,LINK,series of creative works,,,,diegomoussallem,schema provides a deep explanation and also says that the creativeWorks may differ their kinds while WD says similar objects,,
80,120,CreditCard,LINK,equivClass,,Q161380,LINK,credit card,,diegomoussallem,,,,,
81,121,Crematorium,LINK,equivClass,,Q157570,LINK,crematory,,diegomoussallem,,,,,
82,122,DanceGroup,LINK,equivClass,,Q2393314,LINK,dance troupe,,diegomoussallem,,,,,
83,123,DataFeed,LINK,equivClass,,Q5227292,LINK,Data feed,,,,diegomoussallem,"WD does not contain reasonable information, but maybe it suits because of its Wikipedia page.",,
84,124,Dataset,LINK,equivClass,,Q1172284,LINK,data set,,diegomoussallem,,,,,
85,125,Date,LINK,equivClass,,Q3016931,LINK,date,,diegomoussallem,,,,,
86,128,DayOfWeek,LINK,equivClass,,Q41825,LINK,day of the week,,diegomoussallem,,,,,
87,130,DaySpa,LINK,equivClass,,Q11290050,LINK,day spa,,diegomoussallem,,,,,
88,133,DefenceEstablishment,LINK,equivClass,,Q18691599,LINK,military facility,,diegomoussallem,,,,,
89,134,Demand,LINK,equivClass,,Q4402708,LINK,demand,,,diegomoussallem,,different descriptions,,
90,136,Dermatology,LINK,equivClass,,Q171171,LINK,dermatology,,diegomoussallem,,,,,
91,137,DiagnosticProcedure,LINK,equivClass,,Q177719,LINK,diagnostic procedure,,diegomoussallem,,,,,
92,138,Diet,LINK,equivClass,,Q26869695,LINK,Diet,,diegomoussallem,,,,,
93,139,DietarySupplement,LINK,equivClass,,Q645858,LINK,dietary supplement,,diegomoussallem,,,,,
94,142,Distance,LINK,equivClass,,Q126017,LINK,distance,,diegomoussallem,,,,,
95,144,Distillery,LINK,equivClass,,Q1251750,LINK,distillery,,diegomoussallem,,,,,
96,145,Drug,LINK,equivClass,,Q8386,LINK,drug,,diegomoussallem,,,,,
97,146,Duration,LINK,equivClass,,Q2199864,LINK,duration,,diegomoussallem,,,,,
98,151,EducationalOrganization,LINK,equivClass,,Q5341295,LINK,educational organization,,diegomoussallem,,,,,
99,152,Electrician,LINK,equivClass,,Q165029,LINK,electrician,,,diegomoussallem,ppkrauss,schema considers it as an organisation.. But check similar Physician discussions at https://github.com/schemaorg/schemaorg/issues/280#issuecomment-252522816,discuss,
100,153,ElementarySchool,LINK,equivClass,,Q20950067,LINK,elementary school,,diegomoussallem,,,,,
101,154,Embassy,LINK,equivClass,,Q3917681,LINK,embassy,,diegomoussallem,,,,,
102,155,Emergency,LINK,equivClass,,Q5070802,LINK,emergency,,,diegomoussallem; ppkrauss,,different things. And not is a schema-core item.,,
103,156,EmergencyService,LINK,equivClass,yes,Q814610,LINK,emergency service,,diegomoussallem; ppkrauss,,,,,
104,158,EmploymentAgency,LINK,equivClass,,Q261362,LINK,employment agency,,diegomoussallem,,,,,
105,160,Energy,LINK,equivClass,,Q11379,LINK,energy,,diegomoussallem,,,,,
106,161,Episode,LINK,equivClass,,Q1983062,LINK,episode,,diegomoussallem,,,,,
107,162,EPRelease,LINK,equivClass,,Q169930,LINK,extended play,,,,diegomoussallem,No clue of Schema property,,
108,164,Event,LINK,equivClass,,Q1656682,LINK,event,,diegomoussallem,,,,,
109,166,EventVenue,LINK,equivClass,,Q18674739,LINK,event venue,,diegomoussallem,,,,,
110,170,Festival,LINK,equivClass,,Q132241,LINK,festival,,diegomoussallem,,,,,
111,173,FinancialProduct,LINK,equivClass,,Q15809678,LINK,financial product,,diegomoussallem,,,,,
112,174,FinancialService,LINK,equivClass,,Q837171,LINK,Financial services,,diegomoussallem,,,,,
113,175,FireStation,LINK,equivClass,,Q1195942,LINK,fire station,,diegomoussallem,,,,,
114,177,Float,LINK,equivClass,,Q117879,LINK,floating point number,,diegomoussallem,,,,,
115,178,Florist,LINK,equivClass,,Q16735601,LINK,florist,,,diegomoussallem,,WD is a person and Schema is an organisation,,
116,184,Game,LINK,equivClass,,Q11410,LINK,game,,diegomoussallem,,,,,
117,186,GameServer,LINK,equivClass,,Q1315933,LINK,game server,,diegomoussallem,,,,,
118,187,GasStation,LINK,equivClass,,Q205495,LINK,gas station,,diegomoussallem,,,,,
119,188,GatedResidenceCommunity,LINK,equivClass,,Q75848,LINK,gated community,,diegomoussallem,,,,,
120,190,GeneralContractor,LINK,equivClass,,Q289612,LINK,general contractor,,diegomoussallem,,,,,
121,194,Geriatric,LINK,equivClass,,Q10384,LINK,geriatrics,,,diegomoussallem,,WD refers to a person,,
122,196,GolfCourse,LINK,equivClass,,Q1048525,LINK,golf course,,diegomoussallem,,,,,
123,197,GovernmentBuilding,LINK,equivClass,,Q16831714,LINK,government building,,diegomoussallem,,,,,
124,198,GovernmentOrganization,LINK,equivClass,,Q2659904,LINK,government organization,,diegomoussallem,,,,,
125,199,Gynecologic,LINK,equivClass,,Q1221899,LINK,gynaecology,,diegomoussallem,,,,,
126,200,HairSalon,LINK,equivClass,,Q3062512,LINK,haircutting establishment,,diegomoussallem,,,,,
127,203,HealthClub,LINK,equivClass,,Q1065656,LINK,health club,,diegomoussallem,,,,,
128,205,HighSchool,LINK,equivClass,,Q9826,LINK,high school,,diegomoussallem,,,,,
129,206,HinduTemple,LINK,equivClass,,Q842402,LINK,Hindu temple,,diegomoussallem,,,,,
130,209,Hospital,LINK,equivClass,,Q16917,LINK,hospital,,diegomoussallem,,,,,
131,210,Hostel,LINK,equivClass,,Q654772,LINK,hostel,,diegomoussallem,,,,,
132,211,Hotel,LINK,equivClass,,Q27686,LINK,hotel,,diegomoussallem,,,,,
133,212,HotelRoom,LINK,equivClass,,Q23541360,LINK,hotel room,,diegomoussallem,,,,,
134,213,House,LINK,equivClass,,Q3947,LINK,house,,diegomoussallem,,,,,
135,215,HousePainter,LINK,equivClass,,Q288728,LINK,house painter,,,diegomoussallem,,WD refers to persons,,
136,218,IceCreamShop,LINK,equivClass,,Q1311064,LINK,ice cream parlor,,diegomoussallem,,,,,
139,223,InfectiousDisease,LINK,equivClass,,Q18123741,LINK,infectious disease,,diegomoussallem,,,,,
140,227,InsuranceAgency,LINK,equivClass,,Q27038992,LINK,insurance agency,,diegomoussallem,,,,,
143,230,Invoice,LINK,equivClass,,Q190581,LINK,invoice,,diegomoussallem,,,,,
144,238,Joint,LINK,equivClass,,Q9644,LINK,joint,,diegomoussallem,,,,,
145,239,LakeBodyOfWater,LINK,equivClass,,Q23397,LINK,lake,,diegomoussallem,,,,,
146,240,Landform,LINK,equivClass,,Q271669,LINK,landform,,diegomoussallem,,,,,
147,241,LandmarksOrHistoricalBuildings,LINK,equivClass,,Q2319498,LINK,landmark,,diegomoussallem,,,,,
148,242,Language,LINK,equivClass,,Q34770,LINK,language,,diegomoussallem,,,,,
149,244,LegalService,LINK,equivClass,,Q1494322,LINK,legal services,,diegomoussallem,,,,,
150,246,Library,LINK,equivClass,,Q7075,LINK,library,,diegomoussallem,,,,,
151,249,Ligament,LINK,equivClass,,Q39888,LINK,ligament,,diegomoussallem,,,,,
152,250,LiquorStore,LINK,equivClass,,Q2632011,LINK,liquor store,,diegomoussallem,,,,,
153,253,Locksmith,LINK,equivClass,,Q3479990,LINK,locksmith,,,diegomoussallem,,WD refers to persons,,
154,257,LymphaticVessel,LINK,equivClass,,Q11238641,LINK,lymphatic vessel,,diegomoussallem,,,,,
155,258,Map,LINK,equivClass,,Q4006,LINK,map,,diegomoussallem,,,,,
156,259,Mass,LINK,equivClass,,Q11423,LINK,mass,,diegomoussallem,,,,,
157,260,MedicalClinic,LINK,equivClass,,Q1774898,LINK,clinic,,diegomoussallem,,,,,
